DATE;AUSTRIA;BELGIUM;BULGARIA;CROATIA;CYPRUS;CHECHIA;DENMARK;ESTONIA;FINLAND;FRANCE;GERMANY;GREECE;HUNGARY
12/01/2022;11953;0;7062;7956;3515;12413;22396;2203;9768;368149;80430;32833;7883
11/01/2022;10441;16;6761;1578;4187;7381;14414;1980;23325;93896;45690;27766;3382
10/01/2022;10860;14690;1716;7333;3012;2771;19248;1258;0;296097;25255;18592;14655
09/01/2022;7171;10996;3176;8817;3959;3975;12588;1278;0;303669;36552;37670;0
08/01/2022;9028;15258;5524;3911;5244;6696;18261;1647;9921;328214;55889;29334;0
07/01/2022;8288;23686;5525;9058;3777;6679;25995;1729;5979;261481;56335;33711;6524
06/01/2022;10778;23567;6766;8587;5202;7422;28283;1642;6791;332252;64340;43386;6454
05/01/2022;5435;25970;6252;5845;5457;10229;25073;1488;5492;271686;58912;50182;5270
04/01/2022;3221;28048;1918;1103;5024;9383;8801;1497;17047;67461;30561;36246;2429
03/01/2022;32360;131402;20863;42418;25895;56284;190823;9144;39000;153660;329138;214194;28536
